"_id",kanji,cardid,volume
5899e7defe6fca451b5907bb,戦,576,Series 2 Volume 2
5899e7defe6fca451b5907be,才,579,Series 2 Volume 2
5899e7defe6fca451b5907c5,折,586,Series 2 Volume 2
5899e7defe6fca451b5907cc,拡,593,Series 2 Volume 2
5899e7defe6fca451b5907d3,掃,600,Series 2 Volume 2
5899e7defe6fca451b5907d5,掘,602,Series 2 Volume 2
5899e7defe6fca451b590812,植,663,Series 2 Volume 2
5899e7defe6fca451b590832,油,695,Series 2 Volume 2
5899e7defe6fca451b5905c4,品,73,Series 2 Volume 1
5899e7defe6fca451b5905c9,図,78,Series 2 Volume 1
5899e7defe6fca451b5905f6,弱,123,Series 2 Volume 1
5899e7defe6fca451b5905f8,待,125,Series 2 Volume 1
5899e7defe6fca451b59061a,本,159,Series 2 Volume 1
5899e7defe6fca451b59062a,母,175,Series 2 Volume 1
5899e7defe6fca451b590642,町,199,Series 2 Volume 1
5899e7defe6fca451b59065c,終,225,Series 2 Volume 1
5899e7defe6fca451b59065f,者,228,Series 2 Volume 1
5899e7defe6fca451b590667,茶,236,Series 2 Volume 1
5899e7defe6fca451b590673,説,248,Series 2 Volume 1
5899e7defe6fca451b59067c,車,257,Series 2 Volume 1
5899e7defe6fca451b590696,青,283,Series 2 Volume 1
5899e7defe6fca451b5906a4,高,297,Series 2 Volume 1
5899e7defe6fca451b5906c0,伝,325,Series 2 Volume 2
5899e7defe6fca451b5906de,億,355,Series 2 Volume 2
5899e7defe6fca451b5906e1,児,358,Series 2 Volume 2
5899e7defe6fca451b5906e6,具,363,Series 2 Volume 2
5899e7defe6fca451b5906e9,冷,366,Series 2 Volume 2
5899e7defe6fca451b5906f5,刺,378,Series 2 Volume 2
5899e7defe6fca451b5906fd,助,386,Series 2 Volume 2
5899e7defe6fca451b59070b,協,400,Series 2 Volume 2
5899e7defe6fca451b59070e,印,403,Series 2 Volume 2
5899e7defe6fca451b59070f,危,404,Series 2 Volume 2
5899e7defe6fca451b59071e,号,419,Series 2 Volume 2
5899e7defe6fca451b590728,周,429,Series 2 Volume 2
5899e7defe6fca451b590734,団,441,Series 2 Volume 2
5899e7defe6fca451b590736,囲,443,Series 2 Volume 2
5899e7defe6fca451b590742,域,455,Series 2 Volume 2
5899e7defe6fca451b590756,婚,475,Series 2 Volume 2
5899e7defe6fca451b590758,存,477,Series 2 Volume 2
5899e7defe6fca451b59075a,孫,479,Series 2 Volume 2
5899e7defe6fca451b59076d,対,498,Series 2 Volume 2
5899e7defe6fca451b590776,居,507,Series 2 Volume 2
5899e7defe6fca451b59077e,巨,515,Series 2 Volume 2
5899e7defe6fca451b590788,帽,525,Series 2 Volume 2
5899e7defe6fca451b590797,式,540,Series 2 Volume 2
5899e7defe6fca451b5907a6,忙,555,Series 2 Volume 2
5899e7defe6fca451b5907cf,挟,596,Series 2 Volume 2
5899e7defe6fca451b5907e9,旧,622,Series 2 Volume 2
5899e7defe6fca451b5907f0,普,629,Series 2 Volume 2
5899e7defe6fca451b590808,柔,653,Series 2 Volume 2
5899e7defe6fca451b59080c,株,657,Series 2 Volume 2
5899e7defe6fca451b590811,棒,662,Series 2 Volume 2
5899e7defe6fca451b59081e,欲,675,Series 2 Volume 2
5899e7defe6fca451b590827,毒,684,Series 2 Volume 2
5899e7defe6fca451b5905de,子,99,Series 2 Volume 1
5899e7defe6fca451b5905e3,家,104,Series 2 Volume 1
5899e7defe6fca451b5905e7,少,108,Series 2 Volume 1
5899e7defe6fca451b5905f9,後,126,Series 2 Volume 1
5899e7defe6fca451b5905fb,思,128,Series 2 Volume 1
5899e7defe6fca451b59060a,早,143,Series 2 Volume 1
5899e7defe6fca451b590622,業,167,Series 2 Volume 1
5899e7defe6fca451b590646,発,203,Series 2 Volume 1
5899e7defe6fca451b59064c,着,209,Series 2 Volume 1
5899e7defe6fca451b590662,肉,231,Series 2 Volume 1
5899e7defe6fca451b59067b,足,256,Series 2 Volume 1
5899e7defe6fca451b590683,進,264,Series 2 Volume 1
5899e7defe6fca451b59068f,閉,276,Series 2 Volume 1
5899e7defe6fca451b590692,院,279,Series 2 Volume 1
5899e7defe6fca451b5906a8,与,301,Series 2 Volume 2
5899e7defe6fca451b5906ab,丸,304,Series 2 Volume 2
5899e7defe6fca451b5906b0,了,309,Series 2 Volume 2
5899e7defe6fca451b5906cd,保,338,Series 2 Volume 2
5899e7defe6fca451b5906df,優,356,Series 2 Volume 2
5899e7defe6fca451b5906e7,冊,364,Series 2 Volume 2
5899e7defe6fca451b5906ed,刊,370,Series 2 Volume 2
5899e7defe6fca451b5906f1,到,374,Series 2 Volume 2
5899e7defe6fca451b5906f6,刻,379,Series 2 Volume 2
5899e7defe6fca451b590713,厳,408,Series 2 Volume 2
5899e7defe6fca451b590726,吹,427,Series 2 Volume 2
5899e7defe6fca451b59072d,商,434,Series 2 Volume 2
5899e7defe6fca451b590744,報,457,Series 2 Volume 2
5899e7defe6fca451b590755,娘,474,Series 2 Volume 2
5899e7defe6fca451b59075c,宇,481,Series 2 Volume 2
5899e7defe6fca451b590765,宮,490,Series 2 Volume 2
5899e7defe6fca451b590767,容,492,Series 2 Volume 2
5899e7defe6fca451b59076e,封,499,Series 2 Volume 2
5899e7defe6fca451b59077f,差,516,Series 2 Volume 2
5899e7defe6fca451b590784,師,521,Series 2 Volume 2
5899e7defe6fca451b590792,座,535,Series 2 Volume 2
5899e7defe6fca451b5907a1,御,550,Series 2 Volume 2
5899e7defe6fca451b5907a8,快,557,Series 2 Volume 2
5899e7defe6fca451b5907c6,抜,587,Series 2 Volume 2
5899e7defe6fca451b5907d7,探,604,Series 2 Volume 2
5899e7defe6fca451b5907e8,施,621,Series 2 Volume 2
5899e7defe6fca451b5907f8,更,637,Series 2 Volume 2
5899e7defe6fca451b5907fb,期,640,Series 2 Volume 2
5899e7defe6fca451b5905cc,地,81,Series 2 Volume 1
5899e7defe6fca451b5905d2,夕,87,Series 2 Volume 1
5899e7defe6fca451b5905d5,夜,90,Series 2 Volume 1
5899e7defe6fca451b5905d7,天,92,Series 2 Volume 1
5899e7defe6fca451b5905e6,小,107,Series 2 Volume 1
5899e7defe6fca451b5905ea,川,111,Series 2 Volume 1
5899e7defe6fca451b5905ff,所,132,Series 2 Volume 1
5899e7defe6fca451b590648,百,205,Series 2 Volume 1
5899e7defe6fca451b59064d,知,210,Series 2 Volume 1
5899e7defe6fca451b590669,薬,238,Series 2 Volume 1
5899e7defe6fca451b59066a,行,239,Series 2 Volume 1
5899e7defe6fca451b59066b,西,240,Series 2 Volume 1
5899e7defe6fca451b590679,走,254,Series 2 Volume 1
5899e7defe6fca451b59067a,起,255,Series 2 Volume 1
